문화공간코드,장르분류코드,장르분류명,문화공간명,대표이미지,주소,전화번호,팩스번호,홈페이지,관람시간,관람료(원),휴관일,개관일자,객석수,X좌표,Y좌표,기타사항,무료구분
100876,8,도서관,송중문화정보센터,http://culture.seoul.go.kr/data/cf/20111103135242.jpg,서울  강북구 미아동 138-11 ),02-944-3160,02-944-3169,http://www.gangbuklib.seoul.kr/songjung/com/,,,"첫째, 셋째 월요일",2010.03.02,,37.6183421,127.030033,,1
100257,7,문화원,롯데월드 아이스링크,http://culture.seoul.go.kr/data/cf/title_100257.jpg,서울  송파구,02-411-2000,02-419-4454,www.lotteworld.com/icerink,,"어른 5,500원 어린이 4,500원",연중무휴,,,37.511268,127.0986991,,1
100285,4,미술관,LG 사이언스홀,http://culture.seoul.go.kr/data/cf/title_100285.jpg,서울  영등포구 여의도동 20   LG트윈타워 서관 3층,02-3773-1053,02-785-5918,http://www.lgscience.co.kr/,"월~금  09:15 ~ 11:15, 13:30~16:00토 09:15 ~ 11:15, 13:30~15:30",무료(사전예약제),"일요일, 공휴일",,,37.5277895,126.9286274,,1
100153,8,도서관,동대문구정보화도서관,http://culture.seoul.go.kr/data/cf/20111031112551.jpg,서울  동대문구,02-960-1959,02-964-1959,www.l4d.or.kr,"주중/주말 : 오전 09시 ~ 오후 22시 / (단, 어린이실 : 오전 09시 ~ 오후 18시)",,매주 월요일,2006-06-29,"시청각실 1개, 총 68석규모",37.5900642,127.047331,동대문구정보화도서관은 동대문구시설관리공단에서 운영합니다.,1
100259,7,문화원,한국스카이다이빙협회,http://culture.seoul.go.kr/data/cf/title_100259.jpg,서울  송파구 잠실동 175-12 ),02-2203-7943,02-515-7942,http://www.kpa.or.kr,,"입회비 100,000원(1회 강하비 80,000 ~ 100,000원)",,,,37.5114649,127.0805072,,1
100157,8,도서관,동작도서관,http://culture.seoul.go.kr/data/cf/20111020170003.jpg,서울  동작구 노량진동 310-150 ),02-823-6417,02-812-6511,http://djlib.sen.go.kr/,,,,,,37.5059908,126.9401667,"■ 대 지 : 1,910 ㎡ (579평) ■ 건 물 : 1,974㎡ (597평), 철근조 지상3층 지하1층",0
100436,4,미술관,학고재,http://culture.seoul.go.kr/data/cf/title_100436.jpg,서울  종로구 소격동 70 ),02-720-2024,,http://www.hakgojae.com/,하절기(3월-11월)월-금: 오전 9시-오후 7시토: 오전 9시 ？ 오후 6시일: 휴관/전시 기간 중 무휴 오전 10시-오후 6시동절기(12월-2월) 월-토: 오전 10시-오후 6시일: 휴관/전시 기간 중 무휴 오전 10시-오후 6시,무료,일요일,,,37.580376,126.9802633,,0
100176,3,박물관/기념관,절두산순교성지기념관,http://culture.seoul.go.kr/data/cf/title_100176.jpg,서울  마포구 합정동 96-1 ),02-3142-4434,,www.jeoldusan.or.kr,4월 ~ 9월  09:00 ~ 17:0010월 ~ 3월 09:30 ~ 19:30,성인 500원/ 학생 200원,월요일,,,37.5441363,126.9117967,"■ 기    타 : ※ 절두산 순교 기념관 유물 서적류 1,258점, 지본 193점, 교회사적유물 750점, 민속도자기 186점, 민속품 151점, 사진류 295점, 회화 155점, 야외전시물 45점 등 총 3,033점이 전시 되어 있다.",1
100466,3,박물관/기념관,한국미술박물관,http://culture.seoul.go.kr/data/cf/title_100466.jpg,서울  종로구,02-766-6000,,www.kartm.co.kr,,일반 5000원학생 3000원,"월요일추석, 설 연휴",,,37.5808916,126.9890575,,1
100210,1,공연장,씨너스 G,http://culture.seoul.go.kr/data/cf/title_100210.jpg,서울  서초구 서초동 1317-20 ),,,,,,,,,37.4982136,127.0264083,,1
100067,8,도서관,강동도서관,http://culture.seoul.go.kr/data/cf/title_100067.gif,서울  강동구 길동 362 ),"02-483-0728,0178,0828",,http://gdlib.sen.go.kr/,,,"매월 첫째, 셋째 목요일",,,37.5385252,127.1437561,,1
100035,4,미술관,어반아트,http://culture.seoul.go.kr/data/cf/title_100035.jpg,서울  강남구 신사동 545-11 ),02-511-2931,,http://www.urbanart4u.com/,09:00 ~ 18:00,,일요일,,,37.5207027,127.0230798,,1
100435,4,미술관,예맥,http://culture.seoul.go.kr/data/cf/title_100435.jpg,서울  종로구 소격동 87-1 ),02-720-9912,02-720-9913,,10:00 ~ 18:00,무료,"일요일, 공휴일",,,37.5800043,126.9809602,,0
100475,4,미술관,조형갤러리,http://culture.seoul.go.kr/data/cf/title_100475.jpg,"서울  종로구 인사동 194-27 5길 29, 태화빌딩 B1 (인사동)",02-736-4804~5,,,10:30 ~ 18:30,,연중무휴,,,37.571933,126.984788,,1
100553,1,공연장,충무아트홀,http://culture.seoul.go.kr/data/cf/20111101140639.jpg,서울  중구 흥인동 131 ),02-2230-6600,02-2260-6636,http://www.cmah.or.kr/,공연시간에 따라다름,,,2005.03.23(소극장 블루는 2007.05.02),1816,37.5660739,127.0148779,,1
100020,1,공연장,코엑스 오디토리움,http://culture.seoul.go.kr/data/cf/title_100020.jpg,서울  강남구 삼성동 159 ),02)6000-0114,,www.coex.co.kr,,,,,,37.5125518,127.0587767,,1
100431,3,박물관/기념관,국립고궁박물관,http://culture.seoul.go.kr/data/cf/title_100431.jpg,서울  종로구 세종로 1-57  ),02-3701-7500,,www.gogung.go.kr,"평일 09:00~18:00주말, 공휴일 09:00~19:00",일반 2000원청소년 1000원,월요일,,,37.5766678,126.9749224,,1
100346,4,미술관,노화랑,http://culture.seoul.go.kr/data/cf/title_100346.jpg,서울  종로구 관훈동 103 ),02-732-3558,,,09:00 ~ 18:00,무료,"일요일, 공휴일(전시기간 제외)",,,37.5748997,126.9839998,,0
100545,4,미술관,로댕갤러리,http://culture.seoul.go.kr/data/cf/title_100545.jpg,서울  중구,02-2259-7781~2,02-2259-7795,www.plateau.or.kr,10:00 ~ 18:00 (입장마감 17:00) 매주 목요일 오후 9시까지 연장전시 (입장마감 20:00),전시에 따라 변동,월요일,,,37.5614574,126.9751773,"■ 기    타 : ※주차 삼성플라자 주차장 이용  갤러리 입장권 구입 시 1시간 무료주차 확인  1시간 이상 주차시 30분 2,000원",1
100488,4,미술관,소호 아트 갤러리,http://culture.seoul.go.kr/data/cf/title_100488.jpg,"서울  종로구 필운동 90-1 , 소호빌리지)",02-722-1999,02-722-2732,http://www.thesoho.co.kr/,11:00 ~ 22:00,무료,연중무휴,,,37.5778578,126.9692651,,0
100517,1,공연장,서울애니시네마,http://culture.seoul.go.kr/data/cf/20111101135312.jpg,서울  중구 예장동 8-145 ),02-3455-8318,02-3455-8329,http://cinema.ani.seoul.kr/,상영시간에 따라 다름,,,2005.08.23,179,37.5588,126.9877125,,1
100516,11,기타,서울 애니메이션 센터,http://culture.seoul.go.kr/data/cf/title_100516.jpg,서울  중구 예장동 8-145 ),02-3455-8484,,ani.seoul.kr,화요일 ~ 일요일 10:00 ~ 18:00 (동절기 17:00 폐관),무료,"월요일, 공휴일",,,37.5585092,126.9879162,,1
100126,3,박물관/기념관,육군사관학교 박물관,http://culture.seoul.go.kr/data/cf/title_100126.jpg,서울  노원구 공릉동 77 ),02-2197-6451,,http://museum.kma.ac.kr,10:00~17:00,일반 2000원 중고생 이하 1000원외국인 3000원,"월요일,신정, 설, 추석",,,37.6229208,127.1004547,,1
100546,1,공연장,서울남산국악당,http://culture.seoul.go.kr/data/cf/20111020144104.jpg,서울  중구 필동2가 28,02-2261-0500,02-2261-0526,www.hanokmaeul.or.kr,공연에 따라 다릅니다,공연에 따라 다릅니다,공연 일정에 따라 다릅니다,2007년 12월,300석,37.5584554,126.993561,,1
100250,1,공연장,샤롯데씨어터,http://culture.seoul.go.kr/data/cf/title_100250.jpg,서울  송파구 잠실동 40-1 ),02-411-5011,,http://www.charlottetheater.co.kr,,,,,,37.5105764,127.0998629,,1
100013,1,공연장,강남구민회관강당,http://culture.seoul.go.kr/data/cf/title_100013.gif,서울  강남구 대치동 509-2 ),02-3430-1150~3,02-565-4925,,,,,,516석,37.4938226,127.0642688,,1
100116,1,공연장,구로구민회관 대강당,http://culture.seoul.go.kr/data/cf/20111022140335.jpg,서울  구로구 구로동 102 ),02-860-2593,,,,,,,,37.4971237,126.8897292,,1
100235,3,박물관/기념관,국민대학교 박물관,http://culture.seoul.go.kr/data/cf/title_100235.jpg,서울  성북구 정릉동  정릉로 77,02-910-4212,,http://museum.kookmin.ac.kr,10:00~17:00,무료,국정 공휴일,,,37.612908,126.9938822,,0
100122,1,공연장,금빛공원 야외공연장,http://culture.seoul.go.kr/data/cf/title_100122.gif,서울  금천구 독산동 371-2 ),,,,,,,,,37.4700137,126.907356,,1
100294,1,공연장,국립중앙박물관 극장 용,http://culture.seoul.go.kr/data/cf/title_100294.jpg,서울  용산구 용산동6가 168-6 ),02-1544-5955,,http://www.theateryong.or.kr/,,,,,,37.5240754,126.9787824,,1
100211,4,미술관,예술의 전당 서예관,http://culture.seoul.go.kr/data/cf/title_100211.jpg,서울  서초구 서초동 700  ),02)580-1300,,http://www.sac.or.kr/,3월~10월 11:00~20:0011월~2월 11:00~19:00,매전시마다 다름,매월 마지막주월요일,,,37.4783641,127.012144,,1
100325,4,미술관,불교미술관,http://culture.seoul.go.kr/data/cf/title_100325.jpg,서울  종로구 견지동 38-2 ),02-733-4800,02-739-2992,http://www.buddha.co.kr,10:00 ~ 17:00,무료,일요일 (명절연휴),,,37.5741333,126.9827462,,0
100450,4,미술관,사비나미술관,http://culture.seoul.go.kr/data/cf/title_100450.jpg,서울  종로구 안국동 159 ),02-736-4371,,http://www.savinamuseum.com/,10:00~18:30,"일반 1000원,초등생 500원",월요일,,,37.576497,126.9845636,,1
100511,4,미술관,서울시립미술관,http://culture.seoul.go.kr/data/cf/title_100511.jpg,서울  중구 서소문동 덕수궁길 61,02-2124-8800,,http://sema.seoul.go.kr/,"평일 10:00~22:00토,공휴일 10:00~19:00",,"월요일,매년 1월1일",2002.5,,37.5642066,126.9737733,,1
100483,4,미술관,갤러리 세줄,http://culture.seoul.go.kr/data/cf/title_100483.jpg,서울  종로구 평창동 464-13 ),02-391-9171,,http://www.sejul.com,전시중 휴일 없음,무료(특별전시는 유료),,,,37.6134132,126.9751579,,0
100375,1,공연장,샘터 파랑새 극장,http://culture.seoul.go.kr/data/cf/title_100375.jpg,서울  종로구 동숭동 1-115 ),02-763-8961,,www.isamtoh.com,,,월요일,,,37.5815588,127.0023112,,1
100336,4,미술관,가나아트스페이스,http://culture.seoul.go.kr/data/cf/title_100336.jpg,서울  종로구 관훈동 188-0 ),02-734-1333,,http://www.insaartcenter.com/,전시장 10:00 ~ 19:30공예샵 10:00 ~ 20:00,,,,,37.574983,126.983913,■ 기    타 : 1층 명품관 / 2층 판화전시장 / 3층 대관전시장 / 지하1층 대관전시장(공예품),1
100479,4,미술관,갤러리 도올,http://culture.seoul.go.kr/data/cf/title_100479.jpg,서울  종로구 팔판동 27-6 ),02-739-1405~6,,http://www.gallerydoll.com/,평일 10:30 ~ 18:30 휴일 11:30 ~ 18:30,무료,무휴(전시기간중),,,37.583204,126.981671,,0
100522,7,문화원,장충체육관,http://culture.seoul.go.kr/data/cf/title_100522.jpg,서울  중구 장충동2가 220-102,02-2236-4197,,http://www.jangchunggym.co.kr/,,,,,,37.5581865,127.00679,,1
100471,4,미술관,공갤러리,http://culture.seoul.go.kr/data/cf/title_100471.jpg,서울  종로구 인사동 23-2 2-2 (인사동),02-730-1144,02-730-7436,,11:00 ~ 18:00,무료,,,,37.5727833,126.9865375,,0
100243,3,박물관/기념관,몽촌역사관,http://culture.seoul.go.kr/data/cf/title_100243.jpg,서울  송파구 방이동 88 ),02-424-5138,,,3월 ~ 10월 10:00 ~ 17:0011월 ~  2월 10:00 ~ 16:00,무료,"월요일, 설 및 추석연휴,공휴일 익일",,,37.5238852,127.1243709,,0
100453,1,공연장,김동수플레이하우스,http://culture.seoul.go.kr/data/cf/title_100453.gif,서울  종로구 연건동 178-1 ),(02)3675-4675,,,,,,,,37.5765,127.0025375,,1
100381,1,공연장,까망소극장,http://culture.seoul.go.kr/data/cf/title_100381.jpg,서울  종로구 동숭동 1-89 ),02-766-2076,,,,,,,,37.5812208,127.0040346,,1
100232,3,박물관/기념관,혜곡최순우 기념관,http://culture.seoul.go.kr/data/cf/title_100232.jpg,서울  성북구 성북동 126-20 ),02-3675-3401,,www.nt-heritage.org,4~11월 화~토10:00~16:00,무료,"매주 일, 월요일, 추석당일",,,37.5929433,127.0003701,,0
100487,3,박물관/기념관,화정박물관,http://culture.seoul.go.kr/data/cf/20111214114321.jpg,서울  종로구 평창동   평창8길 3,02-2075-0114,,www.hjmuseum.or.kr,10:00~18:00,일반 3000원청소년 2000원,월요일신정연휴설연휴추석연휴,,,37.6046985,126.9659264,,1
100131,11,기타,노원청소년수련관,http://culture.seoul.go.kr/data/cf/20111022132337.JPG,서울  노원구 상계동 772 ),02-3391-4141,02-3391-4142,http://www.youthcenter.or.kr/,,,,,,37.6403878,127.0597454,,1
100376,1,공연장,소극장아리랑,http://culture.seoul.go.kr/data/cf/title_100376.jpg,서울  종로구 동숭동 1-153 ),02-741-6069,,arirang.jinbo.net,,,,,,37.579995,127.0042515,,1
100115,8,도서관,구로도서관,http://culture.seoul.go.kr/data/cf/20111020182713.JPG,서울  구로구 구로동 106-1 ),02-861-6491~5,02-861-6496,http://grlib.sen.go.kr/,,,"정기휴관일 : 매월 첫째, 셋째 수요일임시휴관일 : 도서관 사정으로 휴관하는 날일요일을 제외한 법정 공휴일",,,37.4985419,126.8916742,,0
100385,1,공연장,동키홀,http://culture.seoul.go.kr/data/cf/title_100385.gif,서울  종로구 동숭동 1-96 ),,,,,공연에 따라 다름,,,,37.5815835,127.003706,,1
100251,1,공연장,롯데월드 가든스테이지,http://culture.seoul.go.kr/data/cf/title_100251.gif,서울  송파구 잠실동 40-1 ),02-411-2000,02-411-4454,http://www.lotteworld.com,,,,,,37.5109341,127.0979626,"(자가용)  - 경부고속도로 이용시 : 서울 - 구리,판교IC - 송파IC - 가락시장 - 잠실4거리 - 롯데월드 - 중부고속도로 이용시 :  ① 동서울 - 강일(하일)IC - 88올림픽도로 - 잠실대교 성남방향 - 잠실4거리 - 롯데월드 ② 서울 - 구리,판교IC - 서하남IC - 올림픽공원-잠실4거리 - 롯데월드",1
100318,4,미술관,북촌미술관,http://culture.seoul.go.kr/data/cf/title_100318.jpg,서울  종로구 가회동 170-4  ),02-741-2296,02-741-2105,http://www.bukchonartmuseum.com,화요일 - 일요일 오전11시 - 오후6시,"성인 2,000원, 7~18세 1,000원","월요일, 설, 추석",,,37.5802792,126.9847664,,1
100090,4,미술관,서울대학교 미술관,http://culture.seoul.go.kr/data/cf/title_100090.jpg,서울  관악구 신림동 56-1 ),02-880-9504,,http://www.snumoa.org,10:00~18:00,일반 3000원초중고 2000원,"일요일 및 공휴일, 개교기념일",,,37.4664469,126.9496874,,1
100181,3,박물관/기념관,연세대학교 중앙박물관,http://culture.seoul.go.kr/data/cf/title_100181.jpg,서울  서대문구 신촌동 134 ),02-2123-3340,,없음,"오전 10시 ~ 오후 5시(입장은 4시 30분)휴관: 공휴일 및 토ㆍ일요일, 여름ㆍ겨울방학",무료,일요일 및 공휴일,,,37.5617989,126.9379423,,0
100019,1,공연장,백암아트홀,http://culture.seoul.go.kr/data/cf/title_100019.jpg,서울  강남구,02-559-1333,,http://www.baekamhall.com/,,,,,,37.5103944,127.066052,,1
100506,11,기타,꼬스트홀,http://culture.seoul.go.kr/data/cf/title_100506.jpg,서울  중구 명동2가 1-1 ),02-774-1784,02-753-1784,http://www.mdsd.or.kr/,,,,2003.09.08,484,37.5632657,126.986736,현재 공연목적 대관 등은 하지 않음,1
100474,4,미술관,선갤러리,http://culture.seoul.go.kr/data/cf/title_100474.jpg,서울  종로구 인사동 184 5길 8 (인사동),02-734-0458,,http://www.sungallery.co.kr/,10:00 ~ 18:00,무료,연중무휴,,,37.5729269,126.9856937,,0
100446,4,미술관,성곡미술관,http://culture.seoul.go.kr/data/cf/title_100446.jpg,서울  종로구 신문로2가 1-101 ),02-737-7650,,http://www.sungkokmuseum.com/,10:00~18:00,일반 5000원학생 2000원,월요일,,,37.5732338,126.9694964,,1
100528,1,공연장,삼일로 창고극장,http://culture.seoul.go.kr/data/cf/20111101135113.jpg,서울  중구,02-319-8020,,cafe.naver.com/samilro,공연시간에 따라 다름,,,1975.05.01,100,37.563469,126.9879706,■ 기  타 : 좌석 100석,1
100356,4,미술관,인사아트프라자갤러리,http://culture.seoul.go.kr/data/cf/title_100356.jpg,서울  종로구 관훈동 21 ),02-736-6347,,,10:00 ~ 18:00,,연중무휴,,,37.5738082,126.9856112,,1
100484,4,미술관,토탈미술관,http://culture.seoul.go.kr/data/cf/title_100484.jpg,서울  종로구 평창동 465-2 ),02-379-3994,02-379-0252,http://www.totalmuseum.org/,화~일 11:00~18:00,2000원,"월요일신정, 추석, 전시준비기간",,,37.6121236,126.9756892,,1
100413,1,공연장,대학로 열린 극장,http://culture.seoul.go.kr/data/cf/title_100413.jpg,서울  종로구 명륜2가 21-18 ),02-743-6472,,,,,,,,37.5836265,127.0004798,,1
100161,1,공연장,동방예술극장,http://culture.seoul.go.kr/data/cf/title_100161.gif,서울  마포구 노고산동 33-22 ),02-712-3865,707-1132,,,,,,,37.5545135,126.9384617,,1
100194,4,미술관,예술의전당 한가람디자인미술관,http://culture.seoul.go.kr/data/cf/title_100194.jpg,서울  서초구 서초동 700 ),02-580-1498,,http://www.sac.or.kr/,3월~10월 11:00~20:0011월~2월 11:00~19:00,매전시마다 다름,매월 마지막주월요일,,,37.4799011,127.0125692,,1
100205,7,문화원,이스라엘문화원,http://culture.seoul.go.kr/data/cf/title_100205.jpg,"서울  서초구 서초동 137-603 , 서초타운트라팰리스)",02-525-7446,,http://www.iscc.co.kr/,,,,,,37.4956514,127.0269941,"■ 문화원의 활동 심포지엄 및 세미나 (Symposium & Seminar) 전시회, 연주회, 영화, 축제 (Exhibitions, Concert, Film & Festivals) 히브리어강좌 (Hebrew Courses) 유대학 전문 도서관(Library for Jewish Studies) 이스라엘 문화탐방 (Exploring Israel) 및 기타",1
100463,7,문화원,일본공보문화원,http://culture.seoul.go.kr/data/cf/title_100463.jpg,서울  종로구 운니동 114-8,02-765-3011,,http://www.kr.emb-japan.go.jp/cult/cul_guide_hist.htm,09:30~17:00,,"매주 토.일요일 및 매주 제1 월요일, 공휴일, 연말연시 휴관",,,37.5768328,126.9866725,,1
100367,7,문화원,중국문화원,http://culture.seoul.go.kr/data/cf/title_100367.jpg,서울  종로구 내자동 200 ),02-733-8307,,http://www.cccseoul.org/,화-토요일 09:00~17:00(점심시간 12:00~13:00),,,,,37.5745917,126.9713625,,1
100330,4,미술관,서울아트센터,http://culture.seoul.go.kr/data/cf/title_100330.jpg,서울  종로구 공평동  우정국로2길 32,02-733-9512,,,"평일 10:00~18:00주말,공휴일 10:00~17:00",무료,무휴(전시에 따라 변동),,,37.5694595,126.9847764,,0
100344,4,미술관,관훈갤러리,http://culture.seoul.go.kr/data/cf/title_100344.jpg,서울  종로구 관훈동 195 ),02-733-6469,,http://www.kwanhoongallery.com/,10:30~18:30,무료,무휴(명절제외),,,37.5738697,126.9842614,,0
100347,4,미술관,단성갤러리,http://culture.seoul.go.kr/data/cf/title_100347.jpg,서울  종로구 관훈동 27-5 ),02-735-5588,,,10:00 ~ 19:00,,,,,37.5738854,126.9852786,,1
100342,4,미술관,갤러리미즈,http://culture.seoul.go.kr/data/cf/title_100342.jpg,서울  종로구 관훈동 37 ),02-722-8005,,http://www.mizgallery.com/,10:30 ~ 18:30,무료,연중무휴(명절제외),,,37.5740205,126.9851335,,0
100204,8,도서관,법원도서관,http://culture.seoul.go.kr/data/cf/20111214094508.jpg,서울  서초구 서초동    서초대로 219,02-3480-1584,,http://library.scourt.go.kr/,평   일 : 오전 9시 ~ 오후 6시국경일 및 공휴일은 휴관  (2005년 7월 이후부터는 토요일 휴관),,토요일 및 공휴일 휴관,1989. 9. 1,,37.4924291,127.0052084,"■ 열람대상자 법관 및 법원공무원   검사, 검찰공무원, 변호사, 법무사, 사법연수원생 및 대학교수 국가기관과 연구기관의 임직원으로서 소속기관장의 의뢰로 도서관장 또는 각급법원장의 승인을 얻은 자 기타 상당한 이유가 있어 도서관장의 승인을 얻은 자",1
100341,4,미술관,갤러리 아트사이드,http://culture.seoul.go.kr/data/cf/title_100341.jpg,서울  종로구 관훈동 170 ),02-725-1020,,http://www.artside.org/,10:00 ~ 18:00,무료,연중무휴(명절제외),,,37.5742388,126.9843332,■ 갤러리카페 : 02-725-1551 10:30 ~ 23:00,0
100339,4,미술관,갤러리 룩스,http://culture.seoul.go.kr/data/cf/title_100339.jpg,서울  종로구 관훈동 185 ),02-720-8488,,http://www.gallerylux.net/,10:00 ~ 19:00공휴일 11:00 ~ 19:00,,연중무휴,,,37.581576,126.9678458,,1
100534,4,미술관,덕수궁미술관,http://culture.seoul.go.kr/data/cf/title_100534.jpg,서울  중구 정동 5-1 ),02-2022-0612,,http://www.moca.go.kr/,"3월 ~ 10월 09:00 ~ 17:00 (토, 일, 공휴일 18:00까지)11월 ~  2월 09:00 ~ 16:30",25 ~ 64세 700원 (550원)19 ~ 24세 300원 (250원),월요일,,,37.5658456,126.9737396,"■ 기    타 : 대한문 입장은 관람종료 1시간 전까지 가능    미술관(석조전 서관) 입장은 관람종료30분 전까지 가능",1
100456,3,박물관/기념관,의학박물관,http://culture.seoul.go.kr/data/cf/title_100456.jpg,서울  종로구 연건동 110-744 ),02-2072-2636,02-3672-4294,www.medicalmuseum.org,월~금 10:00~12:00토요일 10:00~12:00,무료,일요일공휴일 노동자의 날개원기념일,,,37.5768763,126.9997812,,0
100152,1,공연장,서울시립대학교 박물관,http://culture.seoul.go.kr/data/cf/title_100152.gif,서울  동대문구 회기동 90,02-2210-2285,02) 2210-2785,http://museum.uos.ac.kr,평일 10:00~17:00,무료,"토요일, 일요일, 공휴일",,,37.5831425,127.0568383,,0
100242,4,미술관,소마미술관,http://culture.seoul.go.kr/data/cf/title_100242.jpg,서울  송파구 방이동  올림픽로 424,02-410-1060~6,,http://www.somamuseum.org/,10:00~18:00,일반 3000원청소년 2000원어린이 1000원,"월요일1월 1일설날, 추석",,,37.5168777,127.1182342,,1
100503,3,박물관/기념관,안중근의사기념관,http://culture.seoul.go.kr/data/cf/title_100503.jpg,서울  중구 남대문로5가 471 ),02-771-4195,,www.patriot.or.kr,3월 ~ 10월 09:00 ~ 18:00,일반 1000원학생 700원,,,,37.5534654,126.9803691,,1
100212,1,공연장,영산양재홀,http://culture.seoul.go.kr/data/cf/title_100212.jpg,서울  서초구 양재동 20-4 ),02-571-7689/6970/5509,02-571-3490,http://www.youngsanhall.com/,,,,,,37.4805096,127.0383644,,1
100196,1,공연장,예술의 전당,http://culture.seoul.go.kr/data/cf/title_100196.jpg,서울  서초구 서초동 700 ),02-580-1300,,www.sac.or.kr,공연별로 다름,공연별로 다름,연중무휴,,,37.4785361,127.0107423,전화예매 (580 ~ 1300),1
100119,3,박물관/기념관,평강성서유물박물관,http://culture.seoul.go.kr/data/cf/title_100119.gif,서울  구로구 오류동 150-15 ),02-2686-9496,,www.apm.or.kr,10:00~17:00,"일반 2000원초,중학생 1000원",월요일,,,37.491955,126.844083,,1
100016,4,미술관,포스코미술관,http://culture.seoul.go.kr/data/cf/title_100016.jpg,서울  강남구 대치동 892  ),02-3457-0793,,http://www.poscoartmuseum.org/,개관시간 10시~19시(토요일 11시~16시),무료,일요일공휴일,,,37.5057694,127.0558879,,0
100093,1,공연장,프리머스 신림,http://culture.seoul.go.kr/data/cf/title_100093.jpg,서울  관악구 신림동 151-890  1422-41,1544-5522,,http://www.primuscinema.com/,,,,,,37.4846492,126.9298115,■ 총 8개관 1230석,1
100340,4,미술관,갤러리 선앤문,http://culture.seoul.go.kr/data/cf/title_100340.jpg,서울  종로구 관훈동 30-9 ),02-722-4140,,,평일 10:30 ~ 18:30(일요일 11:00 ~ 17:00),,일요일(전시기간중 무휴),,,37.5743508,126.9857422,,1
100364,3,박물관/기념관,삼성출판박물관,http://culture.seoul.go.kr/data/cf/title_100364.jpg,서울  종로구 구기동 126-4 ),02-394-6544,,www.ssmop.org,월~금 10:00~17:00,일반 3000원 학생 2000원,"토, 일요일공휴일 휴관",,,37.6086466,126.9570848,,1
