호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범.방재,백화점.중대형마트,편의점,극장.영화관,도서관.박물관
1,도봉산,5014,1767,1600,213,2,0,0,10,6,0,0,2,0,0
1,창동,10960,4067,3882,1418,3,7,39,84,16,1,2,17,0,1
1,석계,14551,5810,4270,1048,1,3,5,55,19,0,0,8,1,1
1,청량리,6188,2920,2018,2595,0,1,48,69,19,0,2,10,3,0
1,제기동,9717,4464,3010,2026,0,4,14,106,10,1,0,9,0,1
1,신설동,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1
1,동묘앞,10625,5274,3634,3437,6,4,36,67,16,1,0,19,0,1
1,동대문,7802,3836,2467,23756,6,14,86,138,33,6,0,34,4,1
1,종로5가,3692,1950,1482,17575,2,9,93,135,38,5,0,26,2,1
1,종로3가,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9
1,종각,1878,1266,1103,8485,3,32,378,160,41,6,0,67,4,25
1,시청,804,428,410,5732,7,20,423,103,44,4,5,43,5,5
1,서울역,5119,2980,2147,1582,0,4,93,50,24,2,1,27,1,0
1,노량진,5845,4103,1416,2225,1,6,13,21,16,2,0,20,0,0
1,신길,8103,4578,3662,2710,4,4,66,37,16,3,1,26,2,0
1,신도림,9803,4096,3847,2956,2,2,76,54,13,0,3,21,2,0
1,가산디지털단지,8846,5226,2358,897,0,4,66,51,33,1,0,32,0,1
1,온수,6305,2566,2412,281,1,1,3,7,13,1,0,6,0,0
2,까치산,18312,8191,6226,1362,2,3,12,92,14,1,0,18,0,2
2,신정네거리,14994,6609,3501,1166,0,3,10,68,10,1,0,9,0,0
2,양천구청,13416,4608,4488,437,3,1,2,30,9,1,0,3,0,0
2,도림천,6164,2284,2209,810,3,0,6,7,12,0,0,3,0,1
2,신설동,7792,4168,2991,3249,5,7,95,39,18,2,0,28,0,1
2,용두,9717,4464,3010,2026,0,9,19,36,11,3,1,8,0,3
2,신답,10153,3948,3127,1312,3,1,16,24,19,0,0,8,0,0
2,용답,11777,5276,2042,555,5,2,4,23,5,1,0,8,0,0
2,충정로,12499,5577,4794,1862,6,11,84,44,27,6,0,19,1,1
2,아현,9919,4371,3158,1137,7,3,16,50,25,0,0,5,0,1
2,이대,13865,8207,5040,2403,27,8,34,78,29,1,0,24,3,0
2,신촌,8798,5407,2984,2868,17,4,59,138,29,1,2,39,4,1
2,홍대입구,6982,3993,2187,4651,1,2,90,95,25,1,0,38,11,7
2,합정,8835,4185,3191,2574,2,4,47,56,13,3,1,29,5,0
2,당산,8936,24632,3864,1076,1,4,49,52,11,2,0,13,0,0
2,영등포구청,13052,5738,4127,2634,6,6,82,59,17,1,0,19,0,2
2,문래,14024,5258,4729,3728,5,5,74,65,28,1,1,19,1,2
2,신도림,9803,2096,3847,2956,2,2,76,54,13,0,3,21,2,0
2,대림,11115,5140,3532,1414,3,3,27,51,10,1,0,14,0,0
2,구로디지털단지,11199,6057,3947,2950,3,5,86,56,28,1,1,23,0,0
2,신대방,11848,6092,2561,953,4,5,8,37,13,2,0,12,0,0
2,신림,13866,9184,4100,2370,0,2,26,95,16,1,1,32,1,0
